,gender,race,age,dir,p_year,party,major,degree,avg
395,1,1,2,6,4,1,4.0,3,1
396,1,1,4,5,4,1,1.0,2,1
397,1,1,3,5,4,1,3.0,1,1
398,2,1,3,5,4,1,2.0,2,1
399,1,1,4,5,4,1,2.0,2,0
400,1,1,4,5,5,1,2.0,2,1
401,1,1,4,5,4,1,1.0,2,1
402,1,1,2,6,3,1,2.0,3,1
403,1,1,4,5,4,1,3.0,2,0
404,1,1,4,6,4,1,3.0,3,0
405,1,1,3,5,4,1,4.0,3,1
406,1,1,4,2,5,1,3.0,1,1
407,1,1,4,5,5,1,6.0,1,1
408,1,1,5,5,4,1,4.0,3,0
409,2,1,4,5,1.0,3,1.0,2,0
410,1,1,3,5,4,1,9.0,2,0
411,1,1,3,5,3,1,4.0,3,1
412,1,1,4,6,5,1,1.0,2,0
413,1,1,4,5,5,1,1.0,3,1
414,1,1,3,2,4,1,4.0,3,1
415,1,1,3,5,4,1,2.0,2,1
416,1,1,4,5,4,1,4.0,2,1
417,1,1,4,5,5,1,2.0,1,1
418,1,1,4,5,4,1,4.0,2,1
419,1,1,4,5,4,1,2.0,3,0
420,1,1,4,7,4,1,1.0,2,1
421,1,1,5,6,5,1,4.0,2,1
422,1,1,4,5,5,1,3.0,1,1
423,1,1,4,5,1.0,3,5.0,3,1
424,1,1,2,5,3,1,6.0,2,1
425,1,1,3,5,4,1,8.0,2,1
426,1,1,3,2,4,1,1.0,3,1
427,1,1,1,6,3,1,6.0,1,1
428,1,1,3,5,4,1,1.0,2,1
429,1,1,4,5,4,1,3.0,2,0
430,1,1,3,5,4,1,2.0,2,1
431,1,1,4,5,4,1,2.0,2,1
432,2,2,3,2,3,1,4.0,2,1
433,1,1,3,5,4,1,2.0,3,1
434,1,1,4,5,4,1,3.0,1,0
435,1,1,3,5,4,1,2.0,2,1
436,1,1,3,5,4,1,1.0,2,1
437,1,1,3,6,4,1,2.0,2,0
438,1,1,1,5,3,1,2.0,2,1
439,1,1,5,5,4,1,8.0,2,1
440,1,1,2,6,3,1,4.0,2,0
441,1,1,4,5,4,1,4.0,2,1
442,1,1,4,5,5,1,1.0,2,1
443,1,1,4,6,5,1,1.0,3,1
444,1,1,4,6,4,1,1.0,3,0
445,1,1,5,6,5,1,2.0,2,1
446,1,2,4,3,4,1,1.0,2,1
447,1,1,3,5,4,1,1.0,2,1
448,1,1,3,5,4,1,4.0,1,0
449,1,1,4,2,5,1,4.0,3,0
450,1,1,3,5,4,1,4.0,1,1
451,1,1,3,5,4,1,4.0,1,1
452,1,1,3,5,4,1,4.0,2,0
453,1,1,4,5,1.0,3,1.0,3,1
454,1,1,3,5,4,1,4.0,1,1
455,1,1,3,4,4,1,2.0,3,0
456,1,1,2,6,3,1,1.0,2,0
457,1,1,5,5,5,1,3.0,2,1
458,2,1,3,2,4,1,8.0,3,1
459,1,2,2,7,4,1,4.0,1,0
460,1,1,3,5,4,1,9.0,2,1
461,1,1,3,1,4,1,1.0,2,0
462,2,1,3,5,3,1,2.0,2,1
463,1,1,2,6,4,1,1.0,3,0
464,1,1,4,5,5,1,8.0,1,1
465,1,1,4,7,4,1,1.0,2,1
466,1,1,4,5,5,1,1.0,2,1
467,1,1,4,5,4,1,1.0,3,1
468,2,1,3,5,4,1,2.0,2,1
469,1,1,3,1,4,1,2.0,3,1
470,1,1,4,5,4,1,3.0,3,1
471,1,1,3,5,4,1,4.0,3,1
472,2,1,5,5,5,1,2.0,3,0
473,1,1,4,5,4,1,4.0,2,1
474,1,1,6,6,6,1,1.0,2,1
475,2,2,4,5,4,1,1.0,2,0
476,1,1,4,5,4,1,2.0,1,1
477,1,1,4,2,5,1,4.0,3,1
478,1,1,4,5,4,1,1.0,2,1
479,1,1,4,5,4,1,3.0,1,1
480,1,1,3,5,4,1,4.0,2,1
481,1,1,4,5,5,1,1.0,3,0
482,1,1,2,5,4,1,1.0,2,1
483,2,1,4,5,5,1,1.0,2,1
484,1,1,3,5,4,1,2.0,2,1
485,1,1,4,5,4,1,2.0,2,1
486,1,1,4,7,5,1,6.0,2,1
487,1,1,4,7,5,1,1.0,2,1
488,1,1,4,7,4,1,6.0,1,1
489,1,1,2,6,3,1,4.0,3,1
490,1,1,4,7,4,1,3.0,2,0
491,1,1,2,6,3,1,1.0,2,1
492,1,1,3,6,4,1,2.0,2,0
493,1,1,2,7,3,1,3.0,3,0
494,1,1,3,5,3,1,2.0,3,0
495,1,1,4,5,4,1,2.0,3,1
496,1,1,4,2,5,1,1.0,3,1
497,1,1,4,5,5,1,3.0,3,1
498,1,1,2,5,3,1,5.0,3,1
499,1,1,3,4,4,1,1.0,2,1
500,1,1,4,6,4,1,1.0,2,1
501,1,1,4,5,4,1,4.0,3,1
502,1,1,4,7,4,1,1.0,2,1
503,1,1,2,7,4,1,2.0,3,1
504,1,1,4,6,4,1,1.0,3,0
505,1,1,5,6,5,1,6.0,3,1
506,1,1,4,6,4,1,10.0,3,1
507,1,1,3,5,4,1,8.0,3,1
508,1,1,4,1,5,1,7.0,1,0
509,1,1,4,7,5,1,3.0,2,1
510,1,1,3,5,4,1,2.0,3,1
511,1,1,2,3,4,1,4.0,3,1
512,1,1,4,7,2.0,2,5.0,3,0
513,1,1,4,6,5,1,1.0,2,1
514,2,1,3,4,4,1,4.0,3,1
515,1,1,4,7,4,1,3.0,2,1
516,1,1,4,6,4,1,5.0,3,1
517,1,1,2,7,3,1,4.0,3,1
518,1,1,4,5,4,1,3.0,3,0
519,1,1,4,5,4,1,1.0,3,0
520,1,1,4,5,4,1,1.0,2,1
521,1,1,3,5,3,1,2.0,2,1
522,1,1,3,6,4,1,1.0,2,1
523,1,1,4,7,4,1,3.0,3,1
524,1,1,3,4,4,1,4.0,3,1
525,1,1,4,6,4,1,3.0,2,0
526,1,1,3,7,4,1,4.0,3,1
527,1,1,4,5,4,1,1.0,2,0
528,1,1,3,6,4,1,2.0,2,1
529,1,1,4,7,4,1,1.0,2,0
530,1,1,5,6,4,1,3.0,3,0
531,1,1,3,7,3,1,5.0,3,1
532,1,2,4,7,5,1,4.0,1,1
533,2,2,4,1,5,1,4.0,3,1
534,1,1,4,6,1.0,3,3.0,3,0
535,1,1,4,6,5,1,3.0,3,0
536,1,1,3,7,3,1,1.0,2,1
537,1,2,4,2,5,1,3.0,2,1
538,1,2,2,1,3,1,2.0,3,1
539,1,1,4,7,4,1,8.0,2,1
540,1,1,4,6,4,1,3.0,1,1
541,1,1,2,5,3,1,3.0,2,1
542,1,1,4,6,5,1,1.0,3,0
543,1,1,4,7,4,1,4.0,2,1
544,1,2,6,7,5,1,8.0,1,1
545,1,1,4,4,4,1,1.0,2,1
546,1,2,4,7,4,1,3.0,3,0
547,1,1,5,3,5,1,3.0,1,1
548,2,2,2,7,3,1,7.0,2,0
549,1,1,5,6,4,1,3.0,1,1
550,1,1,4,4,4,1,2.0,3,1
551,1,1,4,6,5,1,4.0,1,0
552,1,1,4,7,5,1,4.0,1,0
553,1,2,4,7,3,1,5.0,2,1
554,1,1,4,2,5,1,3.0,2,0
555,1,1,4,6,4,1,4.0,3,1
556,1,1,2,5,4,1,6.0,1,1
557,1,1,4,6,4,1,2.0,1,1
558,1,2,4,7,4,1,2.0,3,1
559,1,1,3,7,3,1,6.0,2,1
560,1,1,3,6,3,1,1.0,2,1
561,1,1,3,7,4,1,1.0,3,0
562,1,2,4,7,4,1,1.0,3,1
563,1,1,4,7,4,1,2.0,3,0
564,1,1,4,5,4,1,1.0,2,1
565,1,1,4,6,4,1,2.0,3,0
566,1,1,3,1,4,1,3.0,2,1
567,1,1,3,4,4,1,2.0,3,1
568,2,2,4,7,4,1,7.0,1,0
569,1,1,2,6,3,1,1.0,3,1
570,1,1,2,4,4,1,2.0,3,1
571,1,1,4,6,1.0,3,5.0,3,0
572,1,1,4,7,4,1,1.0,2,0
573,1,1,4,5,4,1,2.0,3,1
574,1,1,3,6,3,1,1.0,2,0
575,1,1,4,5,4,1,5.0,3,1
576,1,1,4,6,5,1,11.0,3,1
577,1,1,4,5,4,1,2.0,3,1
578,1,1,3,5,3,1,4.0,3,1
579,2,2,4,7,4,1,2.0,1,1
580,1,2,4,4,4,1,3.0,3,0
581,1,1,5,7,5,1,4.0,2,1
582,1,1,4,6,4,1,5.0,2,1
583,1,1,4,6,5,1,1.0,2,1
584,1,1,1,6,3,1,2.0,3,1
585,1,1,4,5,5,1,9.0,1,1
586,1,1,3,4,3,1,1.0,2,1
587,1,1,4,4,4,1,6.0,2,0
588,1,1,2,4,3,1,5.0,2,1
589,2,1,5,2,5,1,4.0,1,0
590,1,1,3,4,4,1,1.0,2,1
591,1,2,3,1,4,1,5.0,2,1
592,1,1,4,6,5,1,6.0,2,0
593,1,1,2,3,4,1,3.0,2,1
594,1,1,5,4,1.0,3,5.0,2,0
595,2,1,4,6,5,1,4.0,2,1
596,1,1,4,2,4,1,1.0,2,1
597,1,1,4,4,4,1,2.0,2,1
598,1,1,4,4,5,1,9.0,1,0
599,1,1,3,4,4,1,9.0,1,0
600,1,1,3,4,4,1,1.0,2,1
601,1,1,4,4,5,1,1.0,2,1
602,1,1,3,4,4,1,3.0,2,0
603,1,1,3,4,4,1,1.0,2,1
604,1,1,2,4,4,1,1.0,3,1
605,1,1,4,5,4,1,6.0,1,1
606,1,1,4,5,5,1,3.0,2,1
607,1,1,4,4,4,1,1.0,2,1
608,1,1,4,4,4,1,2.0,2,1
609,1,1,2,4,4,1,3.0,2,1
610,1,1,4,4,4,1,1.0,2,1
611,1,1,4,4,4,1,6.0,2,1
612,1,1,3,4,3,1,1.0,2,1
613,1,1,3,4,4,1,7.0,1,1
614,1,1,3,4,3,1,1.0,2,1
615,1,1,4,5,4,1,4.0,2,1
616,1,1,4,4,4,1,9.0,1,1
617,1,1,4,4,4,1,5.0,1,0
618,1,1,4,4,4,1,6.0,3,1
619,2,1,3,4,4,1,3.0,2,0
620,1,1,4,6,4,1,3.0,3,0
621,1,1,3,6,4,1,4.0,3,0
622,1,1,4,4,4,1,1.0,3,1
623,1,1,4,4,4,1,1.0,2,1
624,1,1,4,6,4,1,3.0,3,0
625,1,1,4,4,5,1,1.0,3,0
626,2,1,2,4,4,1,1.0,3,1
627,1,1,2,4,4,1,4.0,3,1
